last_name, first_name,year,player_age,pitch_hand,n,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
Yarbrough, Ryan,2019,28,L,2057,85.7,2101,12.7,72.8,2405,15.1,79.5,2123,18.7,
Trivino, Lou,2019,28,R,953,95.3,2245,14,79.8,2505,15,87.6,1765,17.3,
Stroman, Marcus,2019,28,R,3046,91.9,2452,10.9,85.4,2833,11.8,87,1929,15.8,
Sanchez, Anibal,2019,35,R,2689,89.3,2251,16.1,78.9,2180,5.8,82.1,1670,15.9,
Sale, Chris,2019,30,L,2465,93.1,2363,19.5,79,2492,14.9,85.2,1965,19.2,
Price, David,2019,34,L,1861,91.1,2197,17.1,80.4,2264,5.6,84.1,1800,17.6,
Peralta, Freddy,2019,23,R,1599,93.6,2454,17.6,77.2,2424,13.3,89.9,1966,16.2,
Paddack, Chris,2019,23,R,2280,93.9,2230,19.7,76.1,2145,14.4,84.5,1707,15.4,
Norris, Daniel,2019,26,L,2360,90.7,2365,18.3,82.4,2518,8.6,85.7,1568,12.6,
Morton, Charlie,2019,36,R,3138,92.8,2237,16.7,78.6,2886,20.9,84.9,2124,20.4,
Milone, Tommy,2019,32,L,1670,87.1,2192,20.5,77.5,2389,6,79.4,1745,17.7,
Lopez, Jorge,2019,26,R,2049,94.1,1917,17.8,82.8,2410,12.3,87.5,1574,15.8,
Lester, Jon,2019,35,L,3041,89.1,2302,14,74.5,2606,12.6,84.3,1939,15.3,
Leake, Mike,2019,32,R,2968,87.6,2131,9.9,79.9,2533,11.9,84,1719,12.9,
Law, Derek,2019,29,R,1193,94,2132,15.2,81.6,2160,8.3,85.8,2014,17.9,
Lamet, Dinelson,2019,27,R,1232,96,2398,17.6,85.7,2694,9.3,92.2,1802,18.7,
Jackson, Luke,2019,28,R,1253,96.1,2304,18.6,87.1,2585,9,83.7,2134,18.9,
Hudson, Daniel,2019,32,R,1217,96.1,2467,17.9,86.7,2642,4.3,88.6,2383,21.5,
Hudson, Dakota,2019,25,R,2846,93.6,2141,14.4,85.9,2364,6,88.1,1459,14.1,
Guerra, Junior,2019,34,R,1351,94.7,2409,19.7,82.1,2651,11.1,86,1235,14.4,
Givens, Mychal,2019,29,R,1092,95.3,2383,16.1,87.1,2476,7.2,84.7,2101,13.7,
Gausman, Kevin,2019,28,R,1643,93.9,2250,19.1,82.1,2264,4.8,83.5,1593,15,
Fedde, Erick,2019,26,R,1287,91,1870,10.5,79.2,2355,13.2,85.3,1624,12.1,
Clarke, Taylor,2019,26,R,1511,93.6,2295,18.4,83.7,2298,7.6,86.8,1520,16.7,
Chen, Wei-Yin,2019,34,L,1151,91.3,2134,17.2,80,2295,11.7,84,1372,13.8,
Chatwood, Tyler,2019,30,R,1285,95.1,2531,16.8,81.4,3092,16.8,87.7,1789,15.2,
Boyd, Matthew,2019,28,L,3024,92,2381,18.2,78.9,2363,6.5,79.1,1956,16.3,
Armstrong, Shawn,2019,29,R,1132,92.3,2545,15.7,83,2863,13.6,,,,
Young, Alex,2019,26,L,1324,87.6,2265,15.1,81.5,2379,4.8,84.5,1794,15.3,
Workman, Brandon,2019,31,R,1244,90.7,2151,13.3,80.6,2608,17.6,,,,
Weaver, Luke,2019,26,R,1053,92.5,2288,16.5,81.3,2216,8.7,84.5,1572,13.5,
Suero, Wander,2019,28,R,1210,92.9,2553,12.4,79.5,2829,17.5,87.5,2101,12.6,
Strahm, Matt,2019,28,L,1789,91.5,2308,19.3,83.8,2492,8.3,84.3,2086,18.2,
Scherzer, Max,2019,35,R,2769,94.2,2470,17.4,83.5,2472,6.8,84.3,1551,16.1,
Ray, Robbie,2019,28,L,3058,92.4,2243,19.7,83.3,2110,5,,,,
Plutko, Adam,2019,28,R,1794,91.1,2265,19.1,83.2,2590,10.4,84.1,1630,15.1,
Plesac, Zach,2019,24,R,1892,93.9,2133,19.1,83,2003,7.2,85.8,1543,14.9,
Paxton, James,2019,31,L,2663,93.6,2217,15.9,81.1,2013,8.1,86.2,2073,14.3,
Leclerc, Jose,2019,26,R,1275,96.7,2616,18,81.8,2712,11.5,89.8,2206,17.8,
Lambert, Peter,2019,22,R,1581,92.7,2256,17,82.6,2222,11.1,85.2,1534,12.2,
Hendriks, Liam,2019,30,R,1317,96.4,2377,19.6,87.4,2145,7.1,,,,
Guerra, Javy,2019,34,R,1076,92.7,2089,19.2,83.8,2145,7.5,83.6,1575,15.8,
Gsellman, Robert,2019,26,R,1072,95.3,2207,20.4,87.7,2527,9.4,87.2,1748,18.9,
Gray, Sonny,2019,30,R,2807,93.2,2493,15.3,83.1,2934,18.5,89.7,2047,16.3,
Gray, Jon,2019,28,R,2372,96,2060,16,85.9,2294,7.6,86.7,1559,13.4,
Gonzalez, Chi Chi,2019,27,R,1145,90.4,2446,10,82,2632,5.5,86.5,1708,12.9,
Gant, John,2019,27,R,1085,94.9,2515,18.4,77.1,2653,18,83.1,1509,14.2,
Fiers, Mike,2019,34,R,2837,90.3,2297,20.8,79.9,2630,16,84.1,1933,18,
Farmer, Buck,2019,28,R,1155,95,2346,20.5,82.4,2657,4,88.1,1800,16.3,
Cortes, Nestor,2019,25,L,1242,89.5,2184,19.3,81.1,2314,7.1,82.4,1461,15.3,
Castillo, Luis,2019,27,R,3069,96.4,2130,18.7,85.9,2330,2.1,87.2,1972,17.3,
Canning, Griffin,2019,23,R,1552,93.9,2335,20.2,86.4,2477,8.8,89.1,1671,18,
Bumgarner, Madison,2019,30,L,3239,89.6,2441,13.9,78.8,2645,12.8,84.2,1641,15.9,
Buehler, Walker,2019,25,R,2831,95.9,2491,17.1,84,2891,15.1,91.5,1516,14.5,
Bieber, Shane,2019,24,R,3223,93.1,2254,19.7,84,2341,7.2,87.6,1725,17.5,
Bedrosian, Cam,2019,28,R,1014,92.9,2377,18.1,83.2,2630,6.7,86.1,1791,19.2,
Arrieta, Jake,2019,33,R,2192,92.4,2197,19,84.9,2575,13.8,87.5,1730,17.3,
Anderson, Nick,2019,29,R,1101,96,2326,20.8,83.1,2094,3.4,,,,
Anderson, Brett,2019,31,L,2659,90.3,1867,15.9,80.5,2386,11.5,82.6,1481,15.9,
Agrazal, Dario,2019,25,R,1148,91.1,2240,19,83,2247,2.4,85.6,1786,17.1,
Ynoa, Gabriel,2019,26,R,1815,93.5,2040,18.5,83.7,2281,4.1,85.9,2007,19.4,
Velasquez, Vince,2019,27,R,2119,94,2369,17.4,85.2,2470,8.4,,,,
Tomlin, Josh,2019,35,R,1136,87.9,2429,14.2,76.5,2805,11.1,84.6,1742,16.4,
Stratton, Chris,2019,29,R,1245,92.2,2498,16.4,81.9,3001,11.4,84.8,2106,15.5,
Stanek, Ryne,2019,28,R,1298,97.5,2364,20,89.6,2251,4.6,88.3,1103,11.9,
Soria, Joakim,2019,35,R,1099,92.7,2303,17.9,77.1,2733,18.4,87.6,1500,13.2,
Skaggs, Tyler,2019,28,L,1386,91.3,2193,17.6,75.1,2609,20.2,83.8,1699,14.8,
Shaw, Bryan,2019,32,R,1188,92.5,2396,8.1,82,2663,13.4,84,1549,9.2,
Sanchez, Aaron,2019,27,R,2305,93.6,2248,19.8,78.4,2841,20,88,1811,18.4,
Ryu, Hyun Jin,2019,32,L,2705,89.4,2064,14.1,72.8,2568,18.5,80,1487,13.9,
Odorizzi, Jake,2019,29,R,2786,91.1,2218,17.4,75.4,2253,14.9,85.2,1489,13.2,
Neris, Hector,2019,30,R,1126,94.5,2450,18.4,,,,86.9,1519,8.4,
Montgomery, Mike,2019,30,L,1575,90.8,1957,13.5,77.7,2281,11,84.3,1787,16.5,
Lyles, Jordan,2019,29,R,2377,92.6,2161,17.9,82.2,2454,13.8,85.6,1549,15.5,
Lorenzen, Michael,2019,27,R,1298,95.5,2521,16.1,85.7,2589,8.5,87.4,2150,18.6,
Lopez, Pablo,2019,23,R,1793,93.5,2060,16.3,79.8,2358,11.5,85.7,1943,17.6,
Kennedy, Ian,2019,35,R,1095,93.8,2394,16.9,80.5,2687,18.4,87.9,2027,17.6,
Jurado, Ariel,2019,23,R,2045,92.4,1863,17.9,83.4,2178,4.9,85.3,1945,18.5,
James, Josh,2019,26,R,1132,97.1,2414,18.3,84.3,2539,13.9,89,1870,16.8,
Jackson, Edwin,2019,36,R,1315,92.7,2265,13.3,84.9,2321,4.9,87,2221,20.4,
Iglesias, Raisel,2019,29,R,1115,95.4,2378,18,84.1,2531,11.2,89,1872,16.9,
Hernandez, Felix,2019,33,R,1216,89.5,2077,16.4,80.2,2418,11.5,84.7,1734,10.8,
Hendricks, Kyle,2019,30,R,2690,86.9,1987,16.3,71.4,2784,19.6,78.6,2115,17.3,
Godley, Zack,2019,29,R,1548,89.5,2213,12.9,81.8,2123,7.6,83.3,1717,12,
Fry, Paul,2019,27,L,1076,90.7,2404,11.7,83.9,2737,16.2,87.7,1840,13.9,
Eflin, Zach,2019,25,R,2571,93.5,2149,16.9,85.7,2272,8.7,86.7,1787,16.4,
DeSclafani, Anthony,2019,29,R,2587,94.7,2196,18.8,87.1,2217,8.1,88.5,1535,15.2,
Cashner, Andrew,2019,33,R,2511,93.8,2194,19,83.4,2299,10.1,84.5,1545,15.9,
Carrasco, Carlos,2019,32,R,1274,93.5,2356,18.6,84.6,2736,4,87.8,1447,10.4,
Bettis, Chad,2019,30,R,1030,91.7,2116,11.5,77.3,2539,15.1,87,1370,9.9,
Beeks, Jalen,2019,26,L,1820,91.3,2023,16.6,75.1,2586,17.9,87.2,1837,17.5,
Beede, Tyler,2019,26,R,2026,94.2,2320,17.7,83,2250,10.6,83.9,1600,15,
Andriese, Matt,2019,30,R,1204,92.5,2335,18.1,81.3,2653,12.4,86,2223,5.2,
Alvarez, Jose,2019,30,L,984,90.9,2360,18.6,82.6,2369,7.4,82,1921,16.5,
Wojciechowski, Asher,2019,31,R,1467,90,2280,15,80.6,2371,14,85.4,2000,18.2,
Wheeler, Zack,2019,29,R,3158,96.7,2299,18.9,87.6,2473,9.5,88.9,1736,15.9,
Wainwright, Adam,2019,38,R,2784,88,2238,12.9,74.9,2752,22.1,83.9,1769,16.9,
Waguespack, Jacob,2019,26,R,1333,90.8,1996,15,80.6,2155,6.1,83,1519,15.3,
Stammen, Craig,2019,35,R,1250,92.8,2170,18,84.8,2350,9.5,89.1,2009,19.2,
Smith, Will,2019,30,L,1043,92.6,2219,18,80.8,2278,10.3,87,1837,19.2,
Smith, Caleb,2019,28,L,2661,91.6,2425,22.5,83.5,2297,5.2,82.6,1918,19.5,
Ramirez, Noe,2019,30,R,1107,89.1,2243,15.7,77.7,2742,14.2,84.2,2001,13.4,
Ramirez, Nick,2019,30,L,1323,88.2,2098,13.9,78.3,2281,9.9,79.1,1471,16.1,
Porcello, Rick,2019,31,R,2927,90.4,2370,18.3,80.4,2660,10.6,80.8,1600,16.2,
Pineda, Michael,2019,30,R,2184,92.5,1998,15,83.9,2011,3.3,87.1,1864,17.7,
Petit, Yusmeiro,2019,35,R,1137,87.9,2229,17.8,76.4,2125,12.6,81.5,1887,18.8,
Nola, Aaron,2019,26,R,3331,92.8,2162,18.5,79.1,2574,18.4,85.8,1570,15.6,
Montas, Frankie,2019,26,R,1485,96.5,2379,20.9,88.4,2509,7.3,86.8,1636,14.5,
Mahle, Tyler,2019,25,R,2138,92.9,2193,17.5,80.4,2595,10.6,87,1632,12,
LeBlanc, Wade,2019,35,L,1955,85,1954,14.9,72.5,2272,15.1,78.6,1544,16,
Keuchel, Dallas,2019,31,L,1864,87.8,2048,12.2,78.4,2229,9.2,79.7,1572,14,
Holland, Derek,2019,33,L,1473,92.3,2386,20.6,80.7,2225,5,83.8,1864,16.6,
Happ, J.A.,2019,37,L,2695,91.3,2262,18.7,84.6,2191,7.3,86,1715,17.1,
Gonzalez, Gio,2019,34,L,1399,89.2,2205,18.9,75.3,2688,20.3,82.3,1623,14.9,
Giolito, Lucas,2019,25,R,2814,94.2,2333,19.8,83.4,2140,9,81.7,1563,16.3,
Fried, Max,2019,25,L,2669,93.8,2072,12.9,78.1,2737,18,84.8,1514,13.4,
Freeland, Kyle,2019,26,L,1779,91.9,2287,14.7,85.8,2238,5.7,86.6,1519,12.5,
Font, Wilmer,2019,29,R,1523,94.3,2351,19,79.6,2401,12.4,84.7,1333,12.8,
Doolittle, Sean,2019,33,L,1074,93.5,2215,20,80.9,2424,9.5,83.7,2136,21.1,
Davies, Zach,2019,26,R,2678,88.1,2248,19.5,76.4,2603,11.7,80,1785,17.6,
Clevinger, Mike,2019,29,R,2090,95.4,2341,18.2,79.7,2450,16.8,87.1,1540,16.2,
Cessa, Luis,2019,27,R,1304,94.4,2286,19,84.8,2492,2.4,87.1,1645,15,
Castro, Miguel,2019,25,R,1232,97.3,2287,19.3,86.1,3029,8.4,90.6,2199,19.4,
Bummer, Aaron,2019,26,L,1039,94,2073,10.7,84.9,2245,14.9,89.4,1636,12.2,
Berrios, Jose,2019,25,R,3132,92.7,2156,18,81.2,2334,17.4,82.5,1705,15.1,
Archer, Chris,2019,31,R,2097,94,2259,19.4,88.4,2617,6.3,87.7,1642,14.8,
Anderson, Shaun,2019,25,R,1584,92.5,2459,14.6,85.6,2634,7.2,86,1454,12.8,
Zimmermann, Jordan,2019,33,R,1866,90.4,2262,16.7,83.7,2318,8.3,87.1,1708,14.3,
Wacha, Michael,2019,28,R,2199,92.2,2046,16.8,75.3,2066,14.3,85.5,1606,15.2,
Suarez, Jose,2019,21,L,1485,91.7,2243,17.7,76.7,2744,12.6,81.7,1608,12.1,
Sparkman, Glenn,2019,27,R,2273,93.4,2251,17.5,80.3,2453,10.9,85.7,2032,17.8,
Soroka, Mike,2019,22,R,2555,92.4,2231,17,83.2,2776,7.8,81.2,2178,19.1,
Rondon, Hector,2019,31,R,972,96.7,2073,17.6,86.8,2348,6.5,90.6,1814,17.3,
Rodriguez, Richard,2019,29,R,1150,93.2,2503,20.5,81.6,2421,7.6,86.9,1833,19.1,
Richards, Trevor,2019,26,R,2288,89.7,2118,17.4,78.9,2228,8.6,83.4,2391,17.9,
Perez, Martin,2019,28,L,2771,91.7,2178,14.3,79.2,2637,8.5,85.3,1795,18,
Perdomo, Luis,2019,26,R,1041,94.2,1891,18,86.6,2295,2.5,88.5,1569,15.5,
