last_name, first_name,year,pitch_hand,n,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
Sheffield, Justus,2020,L,880,48.0,91.9,1940,17.4,33.5,81.8,2503,6.2,18.4,86.3,1724,14.9,
Romano, Jordan,2020,R,237,40.0,96.5,2331,18.4,59.9,89.1,2225,4.8,,,,,
Sanchez, Anibal,2020,R,971,58.1,88.6,2153,16.1,6.1,76.3,2027,4.7,35.6,79.6,1492,15,
Rodriguez, Joely,2020,L,234,67.5,94.6,2069,18.5,2.5,87.7,2126,1.6,29.9,89.2,1075,11.9,
Reyes, Alex,2020,R,369,60.4,97.5,2523,19.6,35.5,84.5,2825,14,4.0,90.7,1493,15.2,
Neris, Hector,2020,R,399,51.8,93.9,2340,19,,,,,48.1,85.5,1162,8,
Nelson, Nick,2020,R,374,57.2,96.3,2092,18.8,18.1,82.9,2663,13.6,24.5,88.6,1787,16.6,
McCullers Jr., Lance,2020,R,884,44.0,93.7,2083,16.4,37.5,83.4,2787,16.1,18.4,86.3,1766,17,
May, Dustin,2020,R,866,81.5,96.7,2478,16.4,13.3,86.8,3090,11.7,5.0,90.7,1937,16.1,
Martin, Chris,2020,R,282,63.8,92.8,2151,15,25.8,82.6,2543,15.3,10.2,86.2,1381,11,
Martin, Brett,2020,L,222,53.1,94,2243,17.9,46.8,86.3,2182,4.9,,,,,
Marshall, Evan,2020,R,383,29.7,92.8,2299,17.8,31.5,82.1,2710,12.8,38.6,87.6,1692,16.8,
Johnson, Pierce,2020,R,310,45.8,96.3,2310,18.9,54.1,84.8,2969,14,,,,,
Lauer, Eric,2020,L,244,75.0,90.1,2234,16.2,20.4,79.8,2305,6.6,4.5,84.2,1532,16.7,
Kimbrel, Craig,2020,R,300,62.3,96.9,2266,17.8,37.6,86,2542,13.2,,,,,
Kilome, Franklyn,2020,R,229,53.7,94.3,2383,17.7,27.9,81.6,2195,10.6,18.3,85.5,1687,9.6,
Kikuchi, Yusei,2020,L,795,77.7,93.5,2218,14.4,15.9,83.3,2347,2.9,6.2,86.8,1453,13.1,
Kennedy, Ian,2020,R,227,82.3,92.1,2364,15.1,10.1,80.8,2556,14.9,7.4,86.8,1850,16.7,
Karinchak, James,2020,R,468,50.2,95.5,2396,21.2,49.7,83.2,2357,8,,,,,
Jones, Nate,2020,R,361,53.4,95.8,2457,20.3,46.2,88,2339,4.9,0.2,89.3,2270,18.2,
Hudson, Dakota,2020,R,589,59.0,92.8,2130,15.4,38.7,85.3,2328,6.9,2.2,86.6,1531,15.8,
Heuer, Codi,2020,R,374,65.7,97.6,2357,19.3,24.8,87.8,2114,5,9.3,89.1,2308,17.6,
Hernandez, Elieser,2020,R,453,58.9,91.3,2265,19.4,35.0,79.1,2265,16.2,5.9,83.6,1904,16,
Hatch, Thomas,2020,R,441,54.1,95.4,2576,17.7,20.6,88,2589,7.5,25.1,85.7,2034,10.5,
Glasnow, Tyler,2020,R,964,60.5,96.9,2409,17.6,34.7,82.4,2939,19,4.6,91.1,1784,16.2,
Guerra, Junior,2020,R,404,60.6,94,2446,19.8,21.7,81.8,2720,11,17.5,86.1,1244,16.2,
Guerra, Javy,2020,R,286,67.1,91.8,2202,20.1,25.1,83.5,2309,9.4,7.6,84.2,1553,15.2,
Gsellman, Robert,2020,R,278,64.7,93.5,2180,19.1,28.0,86.9,2433,10,7.1,85.9,1542,16.9,
Green, Chad,2020,R,425,75.0,95.5,2473,19.6,24.9,84.5,2528,7.6,,,,,
Gonzalez, Victor,2020,L,290,62.7,94.9,2181,19,35.8,84.4,2536,3.7,1.3,87.8,1944,17.1,
Givens, Mychal,2020,R,415,65.0,94.6,2415,15.8,14.2,84.9,2531,7,20.7,83,2135,11.9,
Giolito, Lucas,2020,R,1214,50.5,94,2349,20,15.7,84.4,2120,6.2,33.6,80.9,1414,15.9,
Gausman, Kevin,2020,R,975,51.0,95.1,2313,19.2,6.7,81.9,2353,3.1,42.1,84.2,1739,14.3,
Flaherty, Jack,2020,R,719,55.6,93.6,2166,15.9,42.2,82.1,2369,10.9,2.0,85.7,1842,15.5,
Familia, Jeurys,2020,R,455,59.7,96.6,2217,18.3,29.0,89.6,2317,7.1,11.2,91,1347,14.1,
Eovaldi, Nathan,2020,R,748,68.8,94.6,2202,13,17.1,79.6,2110,11.8,14.0,87.9,1486,9.8,
Dayton, Grant,2020,L,472,63.3,90.5,2227,20.1,36.2,75.8,2436,14.6,0.4,82.9,1903,16.5,
Davies, Zach,2020,R,1055,55.8,88.1,2089,18.2,2.8,74.5,2509,15.1,41.3,79.4,1728,16.7,
Cueto, Johnny,2020,R,1137,44.0,91.2,2202,18.5,28.8,82,2302,5.3,27.0,82.5,1333,12.5,
Covey, Dylan,2020,R,215,40.4,92,1958,13.2,43.7,84.9,2206,6,15.8,84.4,1073,8.3,
Civale, Aaron,2020,R,1200,60.1,89.7,2383,14.4,30.6,77.7,2799,16.4,9.1,85.3,2028,17.8,
Cabrera, Genesis,2020,L,397,56.4,96.2,2288,20.1,30.4,81.3,2464,13,13.0,88.5,1819,18,
Burnes, Corbin,2020,R,1010,67.0,94.7,2793,14.4,21.7,84.4,2932,10.3,11.1,88.9,1954,14.6,
Bubic, Kris,2020,L,931,54.2,91.4,2180,17.5,15.8,78.5,2570,15.7,29.8,79.6,1758,16.5,
Bradley, Archie,2020,R,276,65.9,94.1,2203,19.2,22.4,80,1933,10.5,11.5,86.1,1396,15.7,
Benjamin, Wes,2020,L,389,50.1,90.9,2366,21.5,37.7,82.9,2468,9.4,12.0,84.5,1804,17,
Bacus, Dakota,2020,R,225,34.2,90.7,2261,12.8,65.7,84.6,2586,5.3,,,,,
Armstrong, Shawn,2020,R,237,89.0,91.1,2552,13.3,10.9,82,2839,14.1,,,,,
Akin, Keegan,2020,L,500,62.0,91.9,2389,21.3,20.6,78.9,2489,9.9,17.4,81.3,1988,18,
deGrom, Jacob,2020,R,1135,44.9,98.6,2477,18.2,38.1,91.9,2570,6.6,16.9,91.4,1638,14.5,
Yamamoto, Jordan,2020,R,270,61.4,88.6,2427,13,37.0,76.5,2831,18.5,1.4,81.8,1757,13.2,
Woodruff, Brandon,2020,R,1211,65.1,96.4,2413,18.9,17.3,86.4,2555,6.6,17.5,86.7,1817,18.1,
Wilson, Justin,2020,L,345,96.5,93.3,2317,16.9,3.4,81.1,2643,10.2,,,,,
Widener, Taylor,2020,R,364,65.1,94.5,2396,18.7,20.8,85.9,2352,6.2,14.0,86.3,1857,17.9,
Wendelken, J.B.,2020,R,427,58.0,94.5,2401,15.5,34.6,84.2,2548,9.8,7.2,86.6,1544,16.3,
Turley, Nik,2020,L,373,55.4,94.2,2536,17.2,44.5,76.6,2815,20,,,,,
Tomlin, Josh,2020,R,575,69.9,86.3,2505,13.4,26.0,76.4,2720,7.6,4.0,84,1736,16.9,
Stock, Robert,2020,R,253,64.0,96.8,2218,18.2,22.9,84.6,2734,9,13.0,82.3,1501,16.3,
Sneed, Cy,2020,R,336,69.6,93,2350,18.1,28.8,81.1,2351,13.8,1.4,81.4,1454,10.8,
Senzatela, Antonio,2020,R,1136,55.8,94.3,2144,12.3,33.7,84.5,2213,7.1,10.3,86.4,2133,12.4,
Scott, Tanner,2020,L,345,61.1,96.5,2654,15.5,38.8,88.3,2778,5.6,,,,,
Samardzija, Jeff,2020,R,298,56.3,89.4,2580,17.4,25.5,83.8,2586,8.6,18.1,82.5,2196,17,
Rainey, Tanner,2020,R,278,61.8,96.5,2458,18.8,38.1,87,2400,5.4,,,,,
Porcello, Rick,2020,R,983,53.1,90.4,2176,18.8,34.2,84.6,2393,8.8,12.6,81.8,1682,16.4,
Pomeranz, Drew,2020,L,323,79.5,94.6,2474,19.1,20.4,84.1,2114,13.1,,,,,
Plutko, Adam,2020,R,446,50.2,91,2293,18.5,45.2,83.8,2593,10.9,4.4,84.3,1635,15,
Osich, Josh,2020,L,304,84.8,89.5,2244,8.2,15.1,76.9,2208,6.2,,,,,
Newsome, Ljay,2020,R,255,49.4,91.4,2078,18.3,26.6,77.1,1978,5.7,23.9,84.6,1772,13.5,
O'Day, Darren,2020,R,261,57.0,85.9,2287,15,42.9,78.3,2267,8.3,,,,,
Montgomery, Jordan,2020,L,747,52.3,92.2,2252,17.9,22.0,80.5,2280,3.7,25.5,83.2,1756,17.5,
Mills, Alec,2020,R,945,58.9,89.9,2197,17.5,25.0,71,2460,16.8,15.9,80.8,1707,15.9,
McKenzie, Triston,2020,R,550,53.0,92.8,2336,20.7,36.7,83.5,2196,7.7,10.1,86.8,1654,15,
Hendriks, Liam,2020,R,370,70.8,96,2445,21.3,29.1,86.1,2200,5.9,,,,,
Matzek, Tyler,2020,L,483,71.4,93.7,2404,16.9,28.5,81.9,2943,11.7,,,,,
Luzardo, Jesus,2020,L,911,51.7,95.4,2412,19.9,23.4,84,2533,2.6,24.8,87.4,1930,17.9,
Lopez, Jorge,2020,R,635,59.8,93.7,1896,18.5,30.8,81.1,2339,13.6,9.2,86.2,1582,16,
Lail, Brady,2020,R,300,50.3,90,2381,19.6,34.6,81.7,2494,10.2,15.0,85.9,1697,16.2,
Kintzler, Brandon,2020,R,343,75.8,91.3,1941,18.1,10.4,84.6,2322,3.4,13.7,86,2068,20,
Kinley, Tyler,2020,R,371,33.4,95.9,2343,16.7,59.8,89.4,2595,4.7,6.7,88.4,1771,15.6,
Houck, Tanner,2020,R,265,61.5,92.1,2073,12.4,35.4,82.2,2476,14,3.0,87.1,1571,12.6,
Holder, Jonathan,2020,R,397,62.2,91.3,2420,15.9,13.6,79.9,2780,13.6,24.1,87.2,1775,17,
Hill, Rich,2020,L,600,52.0,87.3,2394,20.2,47.6,72.6,2842,23,0.3,81.7,1401,20.2,
Hahn, Jesse,2020,R,292,56.5,94.9,2265,19.7,43.4,79.1,3125,20.5,,,,,
Guerra, Javy,2020,R,235,68.0,98.4,2143,18.8,27.2,87.8,2522,6.2,4.6,91.9,1742,17.1,
Greene, Shane,2020,R,398,64.8,90.2,2266,14.9,21.8,80.5,2504,15.7,13.3,86,1560,13.6,
Gray, Jon,2020,R,658,49.3,94,2147,16,37.5,84.4,2418,6.7,13.0,86.5,1550,15.5,
Graterol, Brusdar,2020,R,291,70.7,99.3,1979,16.6,28.8,89.1,2477,9.4,0.3,92.1,1798,13.9,
Gibson, Kyle,2020,R,1139,49.4,92.3,2168,18.4,32.7,82,2465,7.2,17.8,84.4,1652,16.3,
Garcia, Yimi,2020,R,241,49.3,94.4,2569,14.6,40.2,86.3,2616,8.1,10.3,87.8,1854,17.7,
Garcia, Bryan,2020,R,332,64.1,94.4,2185,18.7,21.9,87.3,2439,4.8,13.8,86.7,1894,18.1,
Fry, Jace,2020,L,339,77.5,88.2,2334,8.9,17.4,76.4,2156,14.1,5.0,85.2,1641,14.9,
Fried, Max,2020,L,899,51.9,93,2089,12.3,43.1,79,2643,16.7,4.8,83.1,1546,12.1,
Fairbanks, Pete,2020,R,490,59.1,97.3,2419,17,40.8,87.2,2380,5.7,,,,,
Cease, Dylan,2020,R,1085,47.8,97.5,2521,16.5,39.4,83.6,2772,11.1,12.7,82.9,1789,16.2,
Castillo, Luis,2020,R,1153,52.2,97.4,2153,17.6,17.6,86.8,2489,1.9,30.0,88.2,1949,16.6,
Bumgarner, Madison,2020,L,710,76.0,86.1,2445,13.9,22.6,76.9,2493,11.5,1.2,83.1,1684,14.5,
Bassitt, Chris,2020,R,946,77.6,91.3,2146,15.8,12.0,71,2206,17.9,10.2,83.6,1971,19.9,
Barnes, Jacob,2020,R,309,99.0,92.2,2358,13.6,,,,,0.9,87.8,1265,11.2,
Barlow, Scott,2020,R,493,36.7,94.9,2308,16.4,63.2,81.7,2420,11.7,,,,,
Andriese, Matt,2020,R,500,51.4,90.8,2324,16.2,11.8,80,2710,14.2,36.8,86,2148,5,
Almonte, Yency,2020,R,446,42.8,94.8,2111,14.7,44.8,84.4,2316,5.6,12.3,87.9,1789,15.3,
Allard, Kolby,2020,L,658,77.2,89.6,2211,14.4,10.1,76.7,2031,11.7,12.6,82.5,1743,17.8,
Alexander, Tyler,2020,L,599,58.0,89.6,2211,15.4,24.0,82.8,2349,5.8,17.8,84.5,1549,14.5,
Yarbrough, Ryan,2020,L,834,59.3,84.7,2068,12.9,10.6,70.9,2316,18.1,29.9,78.6,1983,18.1,
Wittgren, Nick,2020,R,377,60.7,92.9,2221,19.1,15.1,85.3,2493,5.6,24.1,86.1,1745,15,
Williams, Trevor,2020,R,1017,51.0,91.2,2225,14.1,33.7,81.7,2287,7.9,15.2,85.1,1851,15.6,
Weems, Jordan,2020,R,222,62.1,95.3,2221,20.1,18.4,85.8,2272,7,19.3,86,1307,13.2,
Walden, Marcus,2020,R,285,78.2,91.2,2125,8.5,21.7,84.7,2199,8.4,,,,,
Wainwright, Adam,2020,R,930,59.2,87.6,2253,13.5,38.2,73.5,2791,22,2.4,81.9,1683,15.3,
Wacha, Michael,2020,R,609,69.6,91.7,2101,14.4,1.1,75.3,2195,14.9,29.2,86.9,1538,15.8,
Velasquez, Vince,2020,R,650,57.5,93.7,2419,19.9,28.1,84.4,2433,9.7,14.3,88.2,1580,15.4,
Trivino, Lou,2020,R,370,82.7,94,2134,14.8,10.5,78.3,2365,14.8,6.7,86.7,1808,16.8,
Thorpe, Lewis,2020,L,272,47.4,89.7,1958,17.1,38.6,79.9,2152,9.3,13.9,82.3,1597,16.6,
Strahm, Matt,2020,L,308,55.8,92.9,2334,19.6,33.7,83.2,2524,8.1,10.3,85.8,2140,18.5,
Soto, Gregory,2020,L,394,79.6,97.2,2422,17.9,20.3,87.7,2396,5.8,,,,,
Schreiber, John,2020,R,281,51.9,89.8,2142,7.1,34.5,77.6,2441,15.6,13.5,84.8,1570,13.2,
Sandoval, Patrick,2020,L,598,44.6,92.8,2021,16.3,32.4,83.2,2584,9.1,22.9,84.2,1566,15.1,
Ramirez, Yohan,2020,R,420,60.0,95.6,2363,17.5,40.0,81.9,2417,18.3,,,,,
Robles, Hansel,2020,R,317,51.7,95.4,2345,20.5,11.9,88.8,2325,5.1,36.2,88.1,1456,16,
Richards, Trevor,2020,R,576,50.6,90.5,2155,20.7,18.2,82.6,2038,5.3,31.0,82.5,2398,18.2,
Quantrill, Cal,2020,R,504,53.9,94.9,2156,18.7,35.3,86.1,2437,4.1,10.7,85.5,1608,14,
Pivetta, Nick,2020,R,290,49.3,92.8,2332,21.1,44.4,82.3,2492,12,6.2,85.8,1753,16.7,
Pineda, Michael,2020,R,455,50.1,92.1,1942,16.5,38.4,82.4,2019,2,11.4,85.6,1726,17.9,
Paxton, James,2020,L,356,71.6,90.7,2184,17.2,15.7,79.7,2120,9.2,12.6,82,2220,16.4,
Parker, Blake,2020,R,315,41.2,90.6,1999,17.3,16.5,76.1,2159,12.5,42.2,80,943,9.9,
Paredes, Enoli,2020,R,362,68.2,95.7,2396,16.9,29.8,84.9,2894,10.8,1.9,89.5,2062,19.3,
Pagan, Emilio,2020,R,366,98.0,91.6,2366,13.6,1.9,82.3,2510,5.4,,,,,
Odorizzi, Jake,2020,R,204,49.0,92.2,2208,17.7,22.5,82.4,2064,7.5,28.4,84.8,1223,10.5,
Musgrove, Joe,2020,R,673,45.1,91.8,2418,12.7,44.1,81.8,2692,15.1,10.6,86.5,2078,14.1,
Minor, Mike,2020,L,979,50.6,90.6,2587,14.3,27.1,84.3,2737,8.5,22.1,85.4,2263,20.5,
Melancon, Mark,2020,R,323,57.8,91.9,2341,10.3,39.0,81.8,2647,15.2,3.0,84.1,1906,16.9,
Means, John,2020,L,745,52.3,93.8,2458,20.5,22.9,82.4,2402,12.9,24.6,84.9,2414,21.9,
McGee, Jake,2020,L,332,96.9,94.9,2274,19.1,3.0,82.5,2025,3.9,,,,,
May, Trevor,2020,R,411,51.8,96.3,2397,18.2,32.6,85.3,2506,6.1,15.5,87.7,1919,18.1,
Maton, Phil,2020,R,379,79.6,90.3,2584,12.6,20.3,76.7,2943,21,,,,,
Manaea, Sean,2020,L,812,54.3,90.4,1879,16.4,17.7,78.7,1993,7.2,27.9,82.5,1104,7.7,
Lugo, Seth,2020,R,610,54.9,93.4,2245,19.2,34.4,82.5,2833,15.5,10.6,87.4,1703,17.5,
Knebel, Corey,2020,R,263,62.7,94.3,2396,18.2,33.8,78.1,2721,20.5,3.4,87.7,1618,15.5,
Kershaw, Clayton,2020,L,888,41.1,91.6,2484,19.7,58.6,83.5,2633,11.8,0.2,86.9,2178,20.6,
Jimenez, Joe,2020,R,389,62.2,94.2,2465,19.8,30.5,83.9,2274,6.3,7.1,89,2050,17.5,
Javier, Cristian,2020,R,889,62.9,92.2,2364,19.5,29.8,78.3,2626,13.7,7.1,85.9,1938,18.6,
Jackson, Luke,2020,R,457,36.7,94.3,2258,20.2,63.2,85.4,2468,8.8,,,,,
Holland, Derek,2020,L,719,46.7,92.3,2440,20.7,37.2,80.7,2227,3.3,15.9,84.3,2273,19.5,
Hernandez, Carlos,2020,R,255,51.3,96.2,2374,19.3,33.3,83,2261,8.9,15.2,85.9,1500,15.8,
Hearn, Taylor,2020,L,352,60.5,95,2290,18.7,28.1,83.7,2186,7.9,11.3,85,1746,14.2,
Garcia, Jarlin,2020,L,284,48.5,93.7,2187,19.5,33.0,83.5,2324,6.9,18.3,85.9,2158,18.8,
Gant, John,2020,R,240,64.1,92.2,2499,16.7,12.5,76.3,2559,16.7,23.3,81.8,1544,13.7,
Erlin, Robbie,2020,L,461,56.6,89.3,2262,19,27.3,75.9,2590,17,16.0,82.9,1508,13.2,
Diekman, Jake,2020,L,354,59.3,95.1,2246,18.8,40.3,82.5,2763,14.4,0.2,89.4,1566,18.5,
Clarke, Taylor,2020,R,703,45.5,94.3,2336,19.2,37.5,84.5,2311,7.4,16.9,88.9,1508,16.3,
Cishek, Steve,2020,R,374,47.5,90.3,2321,16.6,51.3,78.2,2342,13.3,1.0,82.4,1848,18.1,
Brubaker, JT,2020,R,804,49.0,93.7,2286,18,46.0,85.5,2700,6,4.9,88.2,1802,15.4,
Britton, Zack,2020,L,289,80.2,94.8,2005,14.4,19.7,81.1,2555,11.7,,,,,
Brice, Austin,2020,R,359,61.5,93.7,2177,17.8,37.3,81.7,2692,8.5,1.1,88.5,1733,14,
Boxberger, Brad,2020,R,357,55.1,92.5,2483,18.9,18.2,88,2432,10.8,26.6,81.2,1400,15.5,
Bielak, Brandon,2020,R,597,63.1,92.3,2372,16.2,19.2,81.7,2417,12.6,17.5,86.4,1871,17.7,
Beeks, Jalen,2020,L,323,56.3,91.4,2086,16.2,,,,,43.6,88,1902,18,
Bard, Daniel,2020,R,404,56.4,97,2671,14.8,30.9,87.6,2815,6.7,12.6,89.7,2126,16.3,